,Date,Product,Price,Quantities
0,2050-01-01,Camera,129.19,4
1,2050-01-02,Tablet,161.01,13
2,2050-01-03,Tablet,72.49,2
3,2050-01-04,Camera,132.66,2
4,2050-01-05,Camera,82.49,7
5,2050-01-06,Tablet,163.88,8
6,2050-01-07,Tablet,158.44,9
7,2050-01-08,Camera,76.48,2
8,2050-01-09,Tablet,179.29,2
9,2050-01-10,Camera,52.97,9
10,2050-01-11,Tablet,179.04,12
11,2050-01-12,Phone,133.84,14
12,2050-01-13,Camera,110.48,3
13,2050-01-14,Phone,163.81,1
14,2050-01-15,Tablet,157.54,3
15,2050-01-16,Phone,198.1,13
16,2050-01-17,Camera,91.71,3
17,2050-01-18,Phone,50.57,9
18,2050-01-19,Tablet,190.09,7
19,2050-01-20,Tablet,178.68,11
20,2050-01-21,Phone,159.33,8
21,2050-01-22,Tablet,127.5,2
22,2050-01-23,Camera,156.04,14
23,2050-01-24,Phone,167.08,9
24,2050-01-25,Phone,106.23,12
25,2050-01-26,Tablet,165.55,10
26,2050-01-27,Camera,162.59,12
27,2050-01-28,Camera,141.98,3
28,2050-01-29,Phone,110.28,3
29,2050-01-30,Tablet,154.6,4
30,2050-01-31,Phone,50.47,6
31,2050-02-01,Camera,166.23,3
32,2050-02-02,Camera,184.46,3
33,2050-02-03,Camera,85.9,4
34,2050-02-04,Camera,68.12,12
35,2050-02-05,Phone,83.04,9
36,2050-02-06,Camera,95.31,8
37,2050-02-07,Camera,182.45,5
38,2050-02-08,Tablet,131.47,2
39,2050-02-09,Tablet,93.01,13
40,2050-02-10,Camera,70.75,14
41,2050-02-11,Tablet,93.52,6
42,2050-02-12,Tablet,142.08,10
43,2050-02-13,Camera,98.62,12
44,2050-02-14,Phone,118.6,2
45,2050-02-15,Camera,116.62,8
46,2050-02-16,Tablet,174.22,2
47,2050-02-17,Phone,113.95,13
48,2050-02-18,Phone,101.85,10
49,2050-02-19,Camera,151.25,14
50,2050-02-20,Camera,83.22,10
51,2050-02-21,Camera,120.09,1
52,2050-02-22,Tablet,97.21,12
53,2050-02-23,Tablet,144.03,7
54,2050-02-24,Camera,181.6,8
55,2050-02-25,Tablet,117.15,1
56,2050-02-26,Phone,167.67,12
57,2050-02-27,Tablet,118.54,13
58,2050-02-28,Tablet,148.43,9
59,2050-03-01,Camera,69.78,11
60,2050-03-02,Camera,114.95,9
61,2050-03-03,Phone,186.4,6
62,2050-03-04,Tablet,140.82,13
63,2050-03-05,Tablet,165.02,7
64,2050-03-06,Camera,125.71,1
65,2050-03-07,Phone,124.71,4
66,2050-03-08,Phone,176.43,7
67,2050-03-09,Camera,60.17,5
68,2050-03-10,Tablet,135.99,11
69,2050-03-11,Phone,191.41,12
70,2050-03-12,Camera,127.68,10
71,2050-03-13,Phone,79.17,4
72,2050-03-14,Camera,177.19,6
73,2050-03-15,Tablet,87.75,14
74,2050-03-16,Camera,155.11,12
75,2050-03-17,Camera,131.04,6
76,2050-03-18,Phone,192.33,5
77,2050-03-19,Tablet,143.65,3
78,2050-03-20,Tablet,175.7,8
79,2050-03-21,Phone,51.19,11
80,2050-03-22,Phone,198.4,2
81,2050-03-23,Camera,61.66,9
82,2050-03-24,Tablet,98.32,6
83,2050-03-25,Phone,191.92,6
84,2050-03-26,Phone,51.34,11
85,2050-03-27,Phone,173.41,8
86,2050-03-28,Tablet,179.18,9
87,2050-03-29,Tablet,115.97,9
88,2050-03-30,Camera,88.36,11
89,2050-03-31,Camera,170.4,8
90,2050-04-01,Camera,121.68,4
91,2050-04-02,Tablet,70.15,11
92,2050-04-03,Tablet,189.18,10
93,2050-04-04,Camera,184.4,14
94,2050-04-05,Camera,123.73,12
95,2050-04-06,Phone,178.51,1
96,2050-04-07,Tablet,112.79,10
97,2050-04-08,Camera,152.52,14
98,2050-04-09,Phone,109.7,5
99,2050-04-10,Phone,125.86,9
100,2050-04-11,Tablet,78.43,4
101,2050-04-12,Camera,194.75,9
102,2050-04-13,Camera,94.13,14
103,2050-04-14,Tablet,65.52,13
104,2050-04-15,Tablet,71.65,13
105,2050-04-16,Tablet,52.11,13
106,2050-04-17,Phone,157.39,3
107,2050-04-18,Tablet,134.67,13
108,2050-04-19,Camera,169.19,12
109,2050-04-20,Tablet,126.06,9
110,2050-04-21,Camera,168.77,9
111,2050-04-22,Tablet,154.36,6
112,2050-04-23,Tablet,166.68,8
113,2050-04-24,Phone,110.97,2
114,2050-04-25,Tablet,147.17,3
115,2050-04-26,Camera,76.97,7
116,2050-04-27,Phone,98.27,13
117,2050-04-28,Tablet,75.89,9
118,2050-04-29,Camera,111.3,5
119,2050-04-30,Camera,86.21,13
120,2050-05-01,Tablet,111.04,1
121,2050-05-02,Phone,196.28,3
122,2050-05-03,Tablet,98.05,9
123,2050-05-04,Tablet,197.37,6
124,2050-05-05,Tablet,145.45,5
125,2050-05-06,Tablet,106.26,8
126,2050-05-07,Camera,178.62,10
127,2050-05-08,Phone,142.94,7
128,2050-05-09,Tablet,87.8,14
129,2050-05-10,Camera,168.93,14
130,2050-05-11,Tablet,114.94,9
131,2050-05-12,Phone,103.63,10
132,2050-05-13,Camera,99.54,11
133,2050-05-14,Phone,154.61,5
134,2050-05-15,Tablet,90.3,12
135,2050-05-16,Tablet,171.24,9
136,2050-05-17,Phone,94.29,10
137,2050-05-18,Phone,131.62,2
138,2050-05-19,Phone,123.19,3
139,2050-05-20,Tablet,178.3,8
140,2050-05-21,Camera,183.26,4
141,2050-05-22,Phone,77.66,13
142,2050-05-23,Phone,137.8,14
143,2050-05-24,Phone,184.73,9
144,2050-05-25,Phone,116.92,7
145,2050-05-26,Tablet,188.28,2
146,2050-05-27,Phone,91.85,7
147,2050-05-28,Camera,141.32,13
148,2050-05-29,Camera,152.37,2
149,2050-05-30,Phone,84.23,14
150,2050-05-31,Tablet,52.07,10
151,2050-06-01,Phone,112.51,10
152,2050-06-02,Tablet,190.77,13
153,2050-06-03,Phone,101.45,8
154,2050-06-04,Camera,166.96,6
155,2050-06-05,Camera,76.21,14
156,2050-06-06,Camera,101.29,9
157,2050-06-07,Phone,71.69,8
158,2050-06-08,Camera,157.52,11
159,2050-06-09,Camera,154.9,2
160,2050-06-10,Tablet,153.27,11
161,2050-06-11,Phone,88.01,8
162,2050-06-12,Tablet,153.85,6
163,2050-06-13,Camera,84.09,11
164,2050-06-14,Tablet,113.7,14
165,2050-06-15,Camera,105.79,14
166,2050-06-16,Camera,103.3,10
167,2050-06-17,Tablet,58.65,2
168,2050-06-18,Camera,144.75,1
169,2050-06-19,Camera,156.1,11
170,2050-06-20,Camera,142.04,14
171,2050-06-21,Phone,147.25,3
172,2050-06-22,Camera,75.49,9
173,2050-06-23,Tablet,72.42,8
174,2050-06-24,Tablet,127.13,12
175,2050-06-25,Phone,181.3,8
176,2050-06-26,Camera,77.59,7
177,2050-06-27,Tablet,119.43,11
178,2050-06-28,Tablet,114.34,5
179,2050-06-29,Camera,124.59,1
180,2050-06-30,Phone,74.23,8
181,2050-07-01,Camera,101.37,6
182,2050-07-02,Camera,89.28,4
183,2050-07-03,Tablet,176.68,10
184,2050-07-04,Camera,170.05,5
185,2050-07-05,Tablet,114.0,9
186,2050-07-06,Camera,141.05,8
187,2050-07-07,Tablet,71.82,1
188,2050-07-08,Camera,126.44,13
189,2050-07-09,Camera,94.54,7
190,2050-07-10,Camera,178.95,2
191,2050-07-11,Camera,150.74,8
192,2050-07-12,Tablet,145.02,3
193,2050-07-13,Phone,68.71,5
194,2050-07-14,Camera,120.59,1
195,2050-07-15,Tablet,197.99,5
196,2050-07-16,Tablet,192.24,4
197,2050-07-17,Phone,146.76,6
198,2050-07-18,Camera,72.76,4
199,2050-07-19,Tablet,145.87,2
200,2050-07-20,Phone,134.85,2
201,2050-07-21,Phone,120.3,8
202,2050-07-22,Phone,114.21,12
203,2050-07-23,Tablet,139.89,5
204,2050-07-24,Camera,177.5,10
205,2050-07-25,Camera,162.67,8
206,2050-07-26,Camera,136.9,10
207,2050-07-27,Camera,188.71,14
208,2050-07-28,Phone,59.71,4
209,2050-07-29,Tablet,198.7,4
210,2050-07-30,Tablet,57.95,9
211,2050-07-31,Phone,79.92,5
212,2050-08-01,Tablet,113.41,8
213,2050-08-02,Camera,66.13,9
214,2050-08-03,Tablet,143.55,8
215,2050-08-04,Phone,57.2,3
216,2050-08-05,Tablet,92.69,13
217,2050-08-06,Phone,59.16,9
218,2050-08-07,Phone,155.53,10
219,2050-08-08,Tablet,150.27,13
220,2050-08-09,Camera,106.79,2
221,2050-08-10,Tablet,78.23,9
222,2050-08-11,Tablet,162.05,6
223,2050-08-12,Tablet,101.06,6
224,2050-08-13,Camera,169.3,14
225,2050-08-14,Phone,123.19,7
226,2050-08-15,Camera,128.85,12
227,2050-08-16,Tablet,54.27,10
228,2050-08-17,Tablet,146.63,8
229,2050-08-18,Tablet,102.6,2
230,2050-08-19,Camera,84.38,4
231,2050-08-20,Phone,115.08,1
232,2050-08-21,Tablet,107.37,14
233,2050-08-22,Tablet,120.47,9
234,2050-08-23,Phone,196.92,6
235,2050-08-24,Phone,104.66,5
236,2050-08-25,Phone,166.16,10
237,2050-08-26,Phone,132.92,1
238,2050-08-27,Camera,183.37,13
239,2050-08-28,Phone,103.24,4
240,2050-08-29,Tablet,86.83,7
241,2050-08-30,Phone,186.65,5
242,2050-08-31,Tablet,56.53,13
243,2050-09-01,Tablet,192.61,10
244,2050-09-02,Tablet,133.46,9
245,2050-09-03,Tablet,106.45,14
246,2050-09-04,Camera,199.26,10
247,2050-09-05,Phone,58.75,13
248,2050-09-06,Phone,127.51,3
249,2050-09-07,Camera,54.66,4
250,2050-09-08,Camera,135.68,11
251,2050-09-09,Tablet,77.07,14
252,2050-09-10,Phone,144.64,10
253,2050-09-11,Phone,197.14,1
254,2050-09-12,Phone,181.24,7
255,2050-09-13,Tablet,117.78,11
256,2050-09-14,Phone,156.27,8
257,2050-09-15,Phone,166.62,12
258,2050-09-16,Camera,124.23,4
259,2050-09-17,Tablet,129.28,10
260,2050-09-18,Tablet,72.62,4
261,2050-09-19,Tablet,105.41,8
262,2050-09-20,Tablet,71.33,6
263,2050-09-21,Phone,159.03,9
264,2050-09-22,Camera,121.55,3
265,2050-09-23,Camera,117.33,12
266,2050-09-24,Tablet,182.9,9
267,2050-09-25,Phone,129.14,3
268,2050-09-26,Phone,111.36,8
269,2050-09-27,Camera,90.33,6
270,2050-09-28,Phone,60.8,14
271,2050-09-29,Camera,112.72,4
272,2050-09-30,Phone,53.86,14
273,2050-10-01,Camera,93.67,2
274,2050-10-02,Phone,125.53,14
275,2050-10-03,Tablet,194.89,3
276,2050-10-04,Tablet,66.41,7
277,2050-10-05,Phone,150.96,14
278,2050-10-06,Phone,124.99,10
279,2050-10-07,Tablet,166.56,2
280,2050-10-08,Camera,71.54,12
281,2050-10-09,Phone,62.48,13
282,2050-10-10,Tablet,109.88,13
283,2050-10-11,Phone,169.54,13
284,2050-10-12,Tablet,78.75,3
285,2050-10-13,Camera,165.17,4
286,2050-10-14,Tablet,93.54,11
287,2050-10-15,Tablet,82.53,14
288,2050-10-16,Phone,52.51,13
289,2050-10-17,Tablet,109.8,12
290,2050-10-18,Phone,107.16,1
291,2050-10-19,Camera,148.9,7
292,2050-10-20,Phone,60.64,3
293,2050-10-21,Tablet,72.89,14
294,2050-10-22,Tablet,52.49,8
295,2050-10-23,Tablet,67.07,14
296,2050-10-24,Tablet,147.77,2
297,2050-10-25,Phone,110.4,10
298,2050-10-26,Phone,98.15,12
299,2050-10-27,Tablet,133.69,2
300,2050-10-28,Phone,199.02,10
301,2050-10-29,Camera,175.17,2
302,2050-10-30,Camera,154.94,10
303,2050-10-31,Camera,187.74,6
304,2050-11-01,Tablet,55.96,1
305,2050-11-02,Camera,60.55,6
306,2050-11-03,Phone,121.1,14
307,2050-11-04,Camera,102.38,1
308,2050-11-05,Phone,190.59,1
309,2050-11-06,Phone,123.43,7
310,2050-11-07,Camera,130.95,8
311,2050-11-08,Tablet,184.29,6
312,2050-11-09,Camera,117.0,6
313,2050-11-10,Phone,181.56,8
314,2050-11-11,Phone,88.04,14
315,2050-11-12,Tablet,91.07,1
316,2050-11-13,Tablet,99.25,8
317,2050-11-14,Tablet,132.13,2
318,2050-11-15,Phone,83.02,3
319,2050-11-16,Tablet,150.71,5
320,2050-11-17,Camera,71.42,1
321,2050-11-18,Tablet,64.12,9
322,2050-11-19,Phone,180.53,13
323,2050-11-20,Phone,85.53,9
324,2050-11-21,Tablet,107.9,4
325,2050-11-22,Camera,135.73,9
326,2050-11-23,Camera,128.87,4
327,2050-11-24,Phone,61.4,3
328,2050-11-25,Camera,181.12,1
329,2050-11-26,Phone,192.67,4
330,2050-11-27,Tablet,171.88,4
331,2050-11-28,Camera,92.57,5
332,2050-11-29,Camera,129.18,2
333,2050-11-30,Tablet,100.91,1
334,2050-12-01,Camera,133.2,11
335,2050-12-02,Camera,196.16,3
336,2050-12-03,Phone,96.76,3
337,2050-12-04,Phone,150.32,7
338,2050-12-05,Tablet,98.9,12
339,2050-12-06,Phone,166.17,8
340,2050-12-07,Tablet,98.87,5
341,2050-12-08,Phone,183.47,2
342,2050-12-09,Tablet,162.76,1
343,2050-12-10,Phone,164.39,14
344,2050-12-11,Phone,120.42,2
345,2050-12-12,Tablet,81.61,3
346,2050-12-13,Phone,56.22,14
347,2050-12-14,Tablet,98.27,13
348,2050-12-15,Phone,55.57,9
349,2050-12-16,Tablet,154.08,11
350,2050-12-17,Camera,150.55,11
351,2050-12-18,Phone,114.57,8
352,2050-12-19,Camera,165.17,5
353,2050-12-20,Tablet,130.4,13
354,2050-12-21,Phone,55.98,4
355,2050-12-22,Phone,70.22,6
356,2050-12-23,Phone,79.01,4
357,2050-12-24,Tablet,100.35,6
358,2050-12-25,Camera,57.85,4
359,2050-12-26,Phone,140.77,9
360,2050-12-27,Camera,126.81,9
361,2050-12-28,Camera,142.62,12
362,2050-12-29,Camera,114.85,12
363,2050-12-30,Camera,177.16,12
364,2050-12-31,Tablet,118.11,6
365,2051-01-01,Camera,52.31,10
366,2051-01-02,Phone,180.96,13
367,2051-01-03,Camera,148.43,9
368,2051-01-04,Tablet,173.45,11
369,2051-01-05,Tablet,192.77,5
370,2051-01-06,Phone,57.64,11
371,2051-01-07,Phone,85.26,2
372,2051-01-08,Camera,59.5,13
373,2051-01-09,Tablet,113.25,5
374,2051-01-10,Tablet,179.57,6
375,2051-01-11,Tablet,62.24,4
376,2051-01-12,Phone,120.97,8
377,2051-01-13,Phone,68.83,7
378,2051-01-14,Tablet,165.93,1
379,2051-01-15,Camera,176.21,8
380,2051-01-16,Camera,56.49,10
381,2051-01-17,Camera,122.97,7
382,2051-01-18,Phone,85.91,8
383,2051-01-19,Camera,192.87,12
384,2051-01-20,Camera,191.58,9
385,2051-01-21,Tablet,142.09,3
386,2051-01-22,Camera,196.02,3
387,2051-01-23,Phone,101.73,4
388,2051-01-24,Tablet,184.68,6
389,2051-01-25,Tablet,115.19,3
